"locality_identifier","household_identifier","treatment_locality","promotion_locality","eligible","enrolled","enrolled_rp","poverty_index","round","health_expenditures","age_hh","age_sp","educ_hh","educ_sp","female_hh","indigenous","hhsize","dirtfloor","bathroom","land","hospital_distance","enrolled_num"
26,44,"Treatment","Promotion","Eligible","Enrolled",1,53.1684684753418,"After",1.20998978614807,26,41,0,2,1,0,5,1,0,0,124.819966250118,1
26,50,"Treatment","Promotion","Eligible","Enrolled",1,49.381763458252,"After",3.11101841926575,41,37,3,0,0,0,10,1,0,3,124.819966250118,1
26,50,"Treatment","Promotion","Eligible","Enrolled",1,49.381763458252,"Before",6.55575799942017,40,37,3,0,0,0,10,1,0,3,124.819966250118,1
26,51,"Treatment","Promotion","Eligible","Enrolled",1,57.4961357116699,"Before",20.1996479034424,26,20,6,0,0,0,2,1,0,1,124.819966250118,1
26,51,"Treatment","Promotion","Eligible","Enrolled",1,57.4961357116699,"After",49.6851463317871,27,21,6,0,0,0,2,1,0,1,124.819966250118,1
62,54,"Treatment","Promotion","Eligible","Enrolled",1,47.9443588256836,"Before",8.79468250274658,42,38,1,0,0,0,9,1,0,3,135.473218142381,1
62,54,"Treatment","Promotion","Eligible","Enrolled",1,47.9443588256836,"After",1.21086144447327,43,39,1,0,0,0,9,1,0,3,135.473218142381,1
62,55,"Treatment","Promotion","Eligible","Enrolled",1,49.381763458252,"Before",13.4692678451538,31,30,2,1,0,0,6,1,0,2,135.473218142381,1
62,55,"Treatment","Promotion","Eligible","Enrolled",1,49.381763458252,"After",14.989296913147,32,31,2,1,0,0,6,1,0,2,135.473218142381,1
62,56,"Treatment","Promotion","Eligible","Enrolled",1,52.2411117553711,"After",2.18736958503723,32,39,3,2,1,0,6,0,0,2,135.473218142381,1
62,56,"Treatment","Promotion","Eligible","Enrolled",1,52.2411117553711,"Before",18.5270328521729,31,41,3,2,1,0,6,0,0,2,135.473218142381,1
62,59,"Treatment","Promotion","Eligible","Enrolled",1,53.5548667907715,"After",3.00965619087219,40,41,0,2,1,0,8,1,0,1,135.473218142381,1
62,59,"Treatment","Promotion","Eligible","Enrolled",1,53.5548667907715,"Before",11.3338136672974,39,41,0,2,1,0,8,1,0,1,135.473218142381,1
62,64,"Treatment","Promotion","Eligible","Enrolled",1,49.1499214172363,"Before",12.2800817489624,47,45,0,0,0,0,7,1,0,2,135.473218142381,1
62,64,"Treatment","Promotion","Eligible","Enrolled",1,49.1499214172363,"After",4.21855163574219,48,46,0,0,0,0,7,1,0,2,135.473218142381,1
62,68,"Treatment","Promotion","Eligible","Enrolled",0,55.0231857299805,"Before",17.3331203460693,32,21,2,4,0,0,4,1,0,4,135.473218142381,1
62,68,"Treatment","Promotion","Eligible","Enrolled",0,55.0231857299805,"After",2.84588837623596,33,22,2,4,0,0,4,1,0,4,135.473218142381,1
62,71,"Treatment","Promotion","Eligible","Enrolled",1,55.2805252075195,"Before",16.6608066558838,66,41,0,2,1,0,7,1,0,12,135.473218142381,1
62,71,"Treatment","Promotion","Eligible","Enrolled",1,55.2805252075195,"After",0.75062483549118,67,41,0,2,1,0,7,1,0,12,135.473218142381,1
134,75,"Control","No promotion","Eligible","Not enrolled",0,48.5703239440918,"After",22.6237678527832,19,20,0,0,0,1,3,1,0,2,142.136129504352,0
134,75,"Control","No promotion","Eligible","Not enrolled",0,48.5703239440918,"Before",13.6735105514526,18,19,0,0,0,1,3,1,0,2,142.136129504352,0
134,76,"Control","No promotion","Eligible","Not enrolled",0,39.3353958129883,"After",11.7834749221802,28,27,0,0,0,1,6,1,0,2,142.136129504352,0
134,76,"Control","No promotion","Eligible","Not enrolled",0,39.3353958129883,"Before",9.11509418487549,27,26,0,0,0,1,6,1,0,2,142.136129504352,0
134,77,"Control","No promotion","Eligible","Not enrolled",0,45.9814529418945,"After",19.7495555877686,48,48,0,0,0,1,4,1,0,3,142.136129504352,0
134,77,"Control","No promotion","Eligible","Not enrolled",0,45.9814529418945,"Before",15.9752883911133,47,47,0,0,0,1,4,1,0,3,142.136129504352,0
134,78,"Control","No promotion","Eligible","Not enrolled",0,44.3585777282715,"Before",14.0210952758789,25,24,1,0,0,1,4,1,0,3,142.136129504352,0
134,78,"Control","No promotion","Eligible","Not enrolled",0,44.3585777282715,"After",10.4810400009155,26,25,1,0,0,1,4,1,0,3,142.136129504352,0
134,80,"Control","No promotion","Eligible","Not enrolled",0,45.5950546264648,"Before",18.6765575408936,36,41,0,2,1,1,3,1,0,1,142.136129504352,0
134,80,"Control","No promotion","Eligible","Not enrolled",0,45.5950546264648,"After",18.4531402587891,37,41,0,2,1,1,3,1,0,1,142.136129504352,0
34,90,"Treatment","Promotion","Eligible","Enrolled",1,57.3029365539551,"Before",15.4412755966187,32,41,4,2,1,1,5,1,0,2,163.841865005557,1
34,90,"Treatment","Promotion","Eligible","Enrolled",1,57.3029365539551,"After",0,33,41,4,2,1,1,5,1,0,2,163.841865005557,1
34,97,"Treatment","Promotion","Eligible","Enrolled",1,55.5641403198242,"Before",15.1642589569092,50,49,3,1,0,1,5,1,0,3,163.841865005557,1
34,97,"Treatment","Promotion","Eligible","Enrolled",1,55.5641403198242,"After",3.74251770973206,51,50,3,1,0,1,5,1,0,3,163.841865005557,1
34,99,"Treatment","Promotion","Eligible","Enrolled",1,55.9505424499512,"After",0.512689769268036,73,73,0,0,0,1,6,1,0,1,163.841865005557,1
34,99,"Treatment","Promotion","Eligible","Enrolled",1,55.9505424499512,"Before",11.8744134902954,72,72,0,0,0,1,6,1,0,1,163.841865005557,1
34,100,"Treatment","Promotion","Eligible","Enrolled",0,57.7024726867676,"Before",15.8603992462158,67,49,2,0,0,1,5,1,1,2,163.841865005557,1
34,100,"Treatment","Promotion","Eligible","Enrolled",0,57.7024726867676,"After",0,68,50,2,0,0,1,5,1,1,2,163.841865005557,1
34,107,"Treatment","Promotion","Eligible","Enrolled",1,47.0888748168945,"Before",8.18917083740234,28,26,3,2,0,1,7,1,0,0,163.841865005557,1
34,107,"Treatment","Promotion","Eligible","Enrolled",1,47.0888748168945,"After",1.58163285255432,29,27,3,2,0,1,7,1,0,0,163.841865005557,1
34,109,"Treatment","Promotion","Eligible","Enrolled",1,57.8825340270996,"Before",12.1688632965088,60,50,0,0,0,1,6,1,0,1,163.841865005557,1
34,109,"Treatment","Promotion","Eligible","Enrolled",1,57.8825340270996,"After",9.08862781524658,61,51,0,0,0,1,6,1,0,1,163.841865005557,1
34,125,"Treatment","Promotion","Eligible","Enrolled",1,56.4142189025879,"Before",11.9219961166382,41,39,4,0,0,1,6,1,0,1,163.841865005557,1
34,125,"Treatment","Promotion","Eligible","Enrolled",1,56.4142189025879,"After",0.0588333122432232,42,40,4,0,0,1,6,1,0,1,163.841865005557,1
34,130,"Treatment","Promotion","Eligible","Enrolled",1,49.459041595459,"After",1.12854599952698,38,31,0,0,0,1,6,1,0,2,163.841865005557,1
34,130,"Treatment","Promotion","Eligible","Enrolled",1,49.459041595459,"Before",10.3518161773682,37,30,0,0,0,1,6,1,0,2,163.841865005557,1
34,131,"Treatment","Promotion","Eligible","Enrolled",1,51.7001533508301,"After",0.510587871074677,41,41,0,6,0,1,5,1,0,1,163.841865005557,1
34,131,"Treatment","Promotion","Eligible","Enrolled",1,51.7001533508301,"Before",12.9755420684814,40,40,0,6,0,1,5,1,0,1,163.841865005557,1
34,133,"Treatment","Promotion","Eligible","Enrolled",1,55.4868621826172,"Before",13.5750875473022,27,22,3,5,0,1,4,1,0,0,163.841865005557,1
34,133,"Treatment","Promotion","Eligible","Enrolled",1,55.4868621826172,"After",0.0759841948747635,28,23,3,5,0,1,4,1,0,0,163.841865005557,1
34,136,"Treatment","Promotion","Eligible","Enrolled",1,57.9598159790039,"Before",8.81203556060791,70,50,0,0,0,1,8,1,0,4,163.841865005557,1
34,136,"Treatment","Promotion","Eligible","Enrolled",1,57.9598159790039,"After",0,71,51,0,0,0,1,8,1,0,4,163.841865005557,1
34,138,"Treatment","Promotion","Eligible","Enrolled",1,49.8454399108887,"After",0,34,32,0,4,0,1,7,1,0,1,163.841865005557,1
34,138,"Treatment","Promotion","Eligible","Enrolled",1,49.8454399108887,"Before",7.86007690429688,33,31,0,4,0,1,7,1,0,1,163.841865005557,1
34,140,"Treatment","Promotion","Eligible","Enrolled",1,56.6460571289062,"After",4.10089206695557,57,51,0,0,0,1,6,1,1,2,163.841865005557,1
34,140,"Treatment","Promotion","Eligible","Enrolled",1,56.6460571289062,"Before",12.5337104797363,56,50,0,0,0,1,6,1,1,2,163.841865005557,1
34,141,"Treatment","Promotion","Eligible","Enrolled",1,54.4435844421387,"Before",8.83557796478271,31,29,2,0,0,1,7,1,1,1,163.841865005557,1
34,141,"Treatment","Promotion","Eligible","Enrolled",1,54.4435844421387,"After",0,32,30,2,0,0,1,7,1,1,1,163.841865005557,1
34,144,"Treatment","Promotion","Eligible","Enrolled",1,55.4095840454102,"Before",10.1107416152954,27,28,1,0,0,1,6,1,0,1,163.841865005557,1
34,144,"Treatment","Promotion","Eligible","Enrolled",1,55.4095840454102,"After",2.49296498298645,28,30,1,0,0,1,6,1,0,1,163.841865005557,1
34,147,"Treatment","Promotion","Eligible","Enrolled",1,52.3956718444824,"After",0,34,33,6,6,0,1,8,1,0,0,163.841865005557,1
34,147,"Treatment","Promotion","Eligible","Enrolled",1,52.3956718444824,"Before",6.6665735244751,33,32,6,6,0,1,8,1,0,0,163.841865005557,1
34,150,"Treatment","Promotion","Eligible","Enrolled",1,50.7341575622559,"After",0.265970408916473,33,28,4,0,0,1,7,1,0,1,163.841865005557,1
34,150,"Treatment","Promotion","Eligible","Enrolled",1,50.7341575622559,"Before",8.4645528793335,32,27,4,0,0,1,7,1,0,1,163.841865005557,1
34,153,"Treatment","Promotion","Eligible","Enrolled",1,57.8052558898926,"After",3.75289273262024,36,33,0,0,0,1,5,1,0,1,163.841865005557,1
34,153,"Treatment","Promotion","Eligible","Enrolled",1,57.8052558898926,"Before",12.1820220947266,35,32,0,0,0,1,5,1,0,1,163.841865005557,1
34,155,"Treatment","Promotion","Eligible","Enrolled",1,56.1050987243652,"After",11.9903936386108,76,41,0,2,0,1,1,1,0,0,163.841865005557,1
34,155,"Treatment","Promotion","Eligible","Enrolled",1,56.1050987243652,"Before",25.1164932250977,75,41,0,2,0,1,1,1,0,0,163.841865005557,1
34,158,"Treatment","Promotion","Eligible","Enrolled",1,56.2596588134766,"Before",13.1525526046753,35,20,0,6,0,1,4,1,0,0,163.841865005557,1
34,158,"Treatment","Promotion","Eligible","Enrolled",1,56.2596588134766,"After",1.29679131507874,36,21,0,6,0,1,4,1,0,0,163.841865005557,1
34,162,"Treatment","Promotion","Eligible","Enrolled",1,54.5595054626465,"Before",10.5523891448975,23,25,0,6,0,1,5,1,0,1,163.841865005557,1
34,162,"Treatment","Promotion","Eligible","Enrolled",1,54.5595054626465,"After",0,24,26,0,6,0,1,5,1,0,1,163.841865005557,1
34,163,"Treatment","Promotion","Eligible","Enrolled",1,56.2596588134766,"After",1.57764744758606,27,31,0,0,0,1,4,1,0,1,163.841865005557,1
34,163,"Treatment","Promotion","Eligible","Enrolled",1,56.2596588134766,"Before",13.2681016921997,26,30,0,0,0,1,4,1,0,1,163.841865005557,1
34,168,"Treatment","Promotion","Eligible","Enrolled",1,55.2295188903809,"After",0.801330745220184,40,40,0,0,0,1,8,0,0,1,163.841865005557,1
34,168,"Treatment","Promotion","Eligible","Enrolled",1,55.2295188903809,"Before",9.28220081329346,39,39,0,0,0,1,8,0,0,1,163.841865005557,1
34,169,"Treatment","Promotion","Eligible","Enrolled",1,54.4049453735352,"Before",17.2976932525635,37,38,0,0,0,1,4,0,0,1,163.841865005557,1
34,169,"Treatment","Promotion","Eligible","Enrolled",1,54.4049453735352,"After",0,38,39,0,0,0,1,4,0,0,1,163.841865005557,1
34,173,"Treatment","Promotion","Eligible","Enrolled",0,54.0958251953125,"After",0,35,32,5,5,0,1,5,0,1,1,163.841865005557,1
34,173,"Treatment","Promotion","Eligible","Enrolled",0,54.0958251953125,"Before",15.8633642196655,33,31,5,5,0,1,5,0,1,1,163.841865005557,1
34,182,"Treatment","Promotion","Eligible","Enrolled",1,54.520866394043,"Before",9.08554267883301,46,36,0,0,0,1,7,1,0,1,163.841865005557,1
34,182,"Treatment","Promotion","Eligible","Enrolled",1,54.520866394043,"After",0,47,37,0,0,0,1,7,1,0,1,163.841865005557,1
34,184,"Treatment","Promotion","Eligible","Enrolled",1,57.8415756225586,"After",0,60,58,0,0,0,1,6,1,0,0,163.841865005557,1
34,184,"Treatment","Promotion","Eligible","Enrolled",1,57.8415756225586,"Before",11.9414730072021,59,57,0,0,0,1,6,1,0,0,163.841865005557,1
34,185,"Treatment","Promotion","Eligible","Enrolled",1,53.4907264709473,"After",2.88487076759338,63,62,0,0,0,1,8,1,1,2,163.841865005557,1
34,185,"Treatment","Promotion","Eligible","Enrolled",1,53.4907264709473,"Before",8.54228687286377,62,61,0,0,0,1,8,1,1,2,163.841865005557,1
34,192,"Treatment","Promotion","Eligible","Enrolled",1,52.5502319335938,"Before",7.35620021820068,26,31,0,0,0,1,7,1,0,2,163.841865005557,1
34,192,"Treatment","Promotion","Eligible","Enrolled",1,52.5502319335938,"After",0.364113032817841,27,32,0,0,0,1,7,1,0,2,163.841865005557,1
34,195,"Treatment","Promotion","Eligible","Enrolled",0,54.4049453735352,"Before",13.7739276885986,31,41,3,2,0,1,5,1,0,2,163.841865005557,1
34,195,"Treatment","Promotion","Eligible","Enrolled",0,54.4049453735352,"After",7.06619167327881,32,42,3,2,0,1,5,1,0,2,163.841865005557,1
34,198,"Treatment","Promotion","Eligible","Enrolled",1,55.5255012512207,"After",0,78,68,0,0,0,1,9,1,0,4,163.841865005557,1
34,198,"Treatment","Promotion","Eligible","Enrolled",1,55.5255012512207,"Before",6.49977922439575,77,67,0,0,0,1,9,1,0,4,163.841865005557,1
34,199,"Treatment","Promotion","Eligible","Enrolled",1,50.7727966308594,"Before",6.80015659332275,42,33,0,0,0,1,8,1,0,2,163.841865005557,1
34,199,"Treatment","Promotion","Eligible","Enrolled",1,50.7727966308594,"After",0,43,34,0,0,0,1,8,1,0,2,163.841865005557,1
34,201,"Treatment","Promotion","Eligible","Enrolled",1,50.540958404541,"Before",10.9715957641602,65,35,0,3,1,1,6,1,0,1,163.841865005557,1
34,201,"Treatment","Promotion","Eligible","Enrolled",1,50.540958404541,"After",0.56083220243454,66,36,0,3,1,1,6,1,0,1,163.841865005557,1
34,203,"Treatment","Promotion","Eligible","Enrolled",1,54.3276672363281,"Before",13.3457107543945,30,28,9,9,0,1,6,0,1,1,163.841865005557,1
34,203,"Treatment","Promotion","Eligible","Enrolled",1,54.3276672363281,"After",1.95121216773987,31,29,9,9,0,1,6,0,1,1,163.841865005557,1
34,209,"Treatment","Promotion","Eligible","Enrolled",1,49.922721862793,"Before",14.0525951385498,55,52,0,0,0,1,5,1,0,1,163.841865005557,1
34,209,"Treatment","Promotion","Eligible","Enrolled",1,49.922721862793,"After",6.58877563476562,56,53,0,0,0,1,5,1,0,1,163.841865005557,1
34,213,"Treatment","Promotion","Eligible","Enrolled",1,56.2596588134766,"Before",11.6809015274048,49,48,0,0,0,1,6,1,0,1,163.841865005557,1
34,213,"Treatment","Promotion","Eligible","Enrolled",1,56.2596588134766,"After",0,50,49,0,0,0,1,6,1,0,1,163.841865005557,1
34,214,"Treatment","Promotion","Eligible","Enrolled",1,51.5455932617188,"Before",12.9998750686646,46,36,6,2,0,1,7,0,1,1,163.841865005557,1
34,214,"Treatment","Promotion","Eligible","Enrolled",1,51.5455932617188,"After",0,47,37,6,2,0,1,7,0,1,1,163.841865005557,1
34,219,"Treatment","Promotion","Eligible","Enrolled",1,55.2704811096191,"Before",9.63659381866455,77,72,0,0,0,1,7,1,0,0,163.841865005557,1
34,219,"Treatment","Promotion","Eligible","Enrolled",1,55.2704811096191,"After",4.01911544799805,78,73,0,0,0,1,7,1,0,0,163.841865005557,1
34,221,"Treatment","Promotion","Eligible","Enrolled",1,54.7913436889648,"After",0.102624133229256,43,33,0,0,0,1,8,1,0,1,163.841865005557,1
34,221,"Treatment","Promotion","Eligible","Enrolled",1,54.7913436889648,"Before",6.55910539627075,42,32,0,0,0,1,8,1,0,1,163.841865005557,1
34,225,"Treatment","Promotion","Eligible","Enrolled",1,53.6321487426758,"Before",15.1190195083618,41,41,0,0,0,1,4,1,0,1,163.841865005557,1
34,225,"Treatment","Promotion","Eligible","Enrolled",1,53.6321487426758,"After",8.30574893951416,42,42,0,0,0,1,4,1,0,1,163.841865005557,1
34,226,"Treatment","Promotion","Eligible","Enrolled",1,52.3956718444824,"After",5.33355331420898,26,24,5,5,0,1,5,0,0,1,163.841865005557,1
34,226,"Treatment","Promotion","Eligible","Enrolled",1,52.3956718444824,"Before",14.1796846389771,25,23,5,5,0,1,5,0,0,1,163.841865005557,1
34,228,"Treatment","Promotion","Eligible","Enrolled",0,54.9459037780762,"Before",13.8730278015137,25,22,5,4,0,1,4,1,1,1,163.841865005557,1
34,228,"Treatment","Promotion","Eligible","Enrolled",0,54.9459037780762,"After",3.19119191169739,26,23,5,4,0,1,4,1,1,1,163.841865005557,1
34,229,"Treatment","Promotion","Eligible","Enrolled",1,51.1591949462891,"After",3.28648400306702,31,25,5,3,0,1,6,0,1,1,163.841865005557,1
34,229,"Treatment","Promotion","Eligible","Enrolled",1,51.1591949462891,"Before",13.0315608978271,30,24,5,3,0,1,6,0,1,1,163.841865005557,1
34,230,"Treatment","Promotion","Eligible","Enrolled",1,52.7047920227051,"After",8.46056461334229,42,37,0,0,0,1,7,1,0,2,163.841865005557,1
34,230,"Treatment","Promotion","Eligible","Enrolled",1,52.7047920227051,"Before",8.93946361541748,41,36,0,0,0,1,7,1,0,2,163.841865005557,1
34,235,"Treatment","Promotion","Eligible","Enrolled",1,54.8686256408691,"Before",12.6572008132935,25,25,6,6,0,1,6,0,0,3,163.841865005557,1
34,235,"Treatment","Promotion","Eligible","Enrolled",1,54.8686256408691,"After",1.68471741676331,27,26,6,6,0,1,6,0,0,3,163.841865005557,1
46,241,"Treatment","Promotion","Eligible","Enrolled",1,52.5502319335938,"Before",12.5402746200562,23,20,0,6,0,1,4,1,0,3,132.001494403127,1
46,241,"Treatment","Promotion","Eligible","Enrolled",1,52.5502319335938,"After",2.98730683326721,24,20,0,6,0,1,4,1,0,3,132.001494403127,1
46,243,"Treatment","Promotion","Eligible","Enrolled",1,54.2503852844238,"After",15.1568746566772,23,26,6,6,1,0,4,1,0,0,132.001494403127,1
46,243,"Treatment","Promotion","Eligible","Enrolled",1,54.2503852844238,"Before",15.030312538147,22,25,6,6,1,0,4,1,0,0,132.001494403127,1
46,246,"Treatment","Promotion","Eligible","Enrolled",1,57.8825340270996,"Before",18.6520614624023,25,19,6,6,0,0,3,1,1,3,132.001494403127,1
46,246,"Treatment","Promotion","Eligible","Enrolled",1,57.8825340270996,"After",0,27,21,6,6,0,0,3,1,1,3,132.001494403127,1
46,249,"Treatment","Promotion","Eligible","Enrolled",1,46.3678512573242,"Before",9.70981311798096,32,29,6,6,0,0,8,1,1,2,132.001494403127,1
46,249,"Treatment","Promotion","Eligible","Enrolled",1,46.3678512573242,"After",0,33,30,6,6,0,0,8,1,1,2,132.001494403127,1
46,252,"Treatment","Promotion","Eligible","Enrolled",1,56.3369407653809,"After",0,33,32,2,0,0,0,5,1,0,1,132.001494403127,1
46,252,"Treatment","Promotion","Eligible","Enrolled",1,56.3369407653809,"Before",15.5378942489624,32,32,2,0,0,0,5,1,0,1,132.001494403127,1
46,260,"Treatment","Promotion","Eligible","Enrolled",1,54.4822273254395,"After",7.95604610443115,41,31,3,3,0,0,6,1,0,3,132.001494403127,1
46,260,"Treatment","Promotion","Eligible","Enrolled",1,54.4822273254395,"Before",14.3988952636719,40,30,3,3,0,0,6,1,0,3,132.001494403127,1
46,263,"Treatment","Promotion","Eligible","Enrolled",1,55.3323020935059,"Before",17.3225860595703,20,20,5,5,0,0,3,1,0,0,132.001494403127,1
46,263,"Treatment","Promotion","Eligible","Enrolled",1,55.3323020935059,"After",11.5200319290161,21,21,5,5,0,0,3,1,0,0,132.001494403127,1
46,265,"Treatment","Promotion","Eligible","Enrolled",1,53.7094268798828,"After",3.98968720436096,51,42,2,0,0,0,5,1,0,2,132.001494403127,1
46,265,"Treatment","Promotion","Eligible","Enrolled",1,53.7094268798828,"Before",17.4533615112305,50,42,2,0,0,0,5,1,0,2,132.001494403127,1
46,266,"Treatment","Promotion","Eligible","Enrolled",1,42.1020088195801,"After",0,42,32,0,0,0,0,8,1,0,1,132.001494403127,1
46,266,"Treatment","Promotion","Eligible","Enrolled",1,42.1020088195801,"Before",9.1340446472168,42,31,0,0,0,0,8,1,0,1,132.001494403127,1
46,268,"Treatment","Promotion","Eligible","Enrolled",1,39.799072265625,"After",0.784026324748993,34,32,5,1,0,0,8,1,0,1,132.001494403127,1
46,268,"Treatment","Promotion","Eligible","Enrolled",1,39.799072265625,"Before",9.42469882965088,33,31,5,1,0,0,8,1,0,1,132.001494403127,1
46,270,"Treatment","Promotion","Eligible","Enrolled",1,51.2364768981934,"Before",12.6743192672729,27,27,2,0,0,0,6,1,0,1,132.001494403127,1
46,270,"Treatment","Promotion","Eligible","Enrolled",1,51.2364768981934,"After",0,28,28,2,0,0,0,6,1,0,1,132.001494403127,1
46,271,"Treatment","Promotion","Eligible","Enrolled",1,56.1050987243652,"Before",16.8468322753906,28,24,6,6,0,0,4,1,0,2,132.001494403127,1
46,271,"Treatment","Promotion","Eligible","Enrolled",1,56.1050987243652,"After",2.21101880073547,29,25,6,6,0,0,4,1,0,2,132.001494403127,1
50,276,"Treatment","Promotion","Eligible","Enrolled",1,52.7047920227051,"Before",17.4062633514404,42,32,0,0,0,0,4,1,0,1,132.772322188135,1
50,276,"Treatment","Promotion","Eligible","Enrolled",1,52.7047920227051,"After",16.7907638549805,43,33,0,0,0,0,4,1,0,1,132.772322188135,1
50,278,"Treatment","Promotion","Eligible","Enrolled",1,53.7867088317871,"After",4.9213399887085,52,41,0,2,1,0,5,1,0,1,132.772322188135,1
50,278,"Treatment","Promotion","Eligible","Enrolled",1,53.7867088317871,"Before",18.2442417144775,51,41,0,2,1,0,5,1,0,1,132.772322188135,1
80,280,"Treatment","Promotion","Eligible","Enrolled",1,48.1197814941406,"Before",10.5599918365479,42,40,2,0,0,0,8,1,0,1,130.47840098353,1
